trigger,trigger_description
Thermostat set to Away,This trigger fires every time the thermostat is set to away.
Temperature falls below,This trigger fires when the temperature falls below a set threshold
Temperature rises above,This trigger fires when the temperature rises above a set threshold
When thermostat comes online,This trigger fires when the thermostat comes online
Thermostat set to Heat,This trigger fires every time the thermostat is set to heat.
When thermostat goes offline,This trigger fires when a thermostat goes offline
