action,action_description
Arm my Honeywell Total Connect security panel,This action will arm your Honeywell Total Connect security system to Stay or Away mode.
Run a Smart Scene in my Total Connect security panel,This action will run a Smart Scene in your Honeywell Total Connect security panel.
