action,action_description
Set your lights brightness  and color,Set your light  brightness  and color
Activate Common Scene.,Activate Roome Common Scene
Turn on lights,Turn on the lights based on which room you set.
Activate  Customize Scene,Activate  Customize Roome Scene
Turn off lights.,Turn off the lights based on which room you set.
