action,action_description
WiFi Remote Control (mini),This action will control your WiFi  Remote Control (mini).
GSM Smart Gate,This action will control your GSM Smart Gate.
WiFi RF Reciver,This action will control your Wifi RF Reciver.
RF Remote Control,This action will control your RF remote control.
Light Switch(Wifi),The trigger is triggered when you control your Light Switch(Wifi).
Wifi Smart Switch,This action will control your Wifi Smart Switch (mini).
Garage,This action will control your Garage.
WiFi Smart Gate,This action will control your WiFi Smart Gate.
