action,action_description
Turn off,"This action will turn a WeMo Dimmer off. If the WeMo Dimmer is already off, it will remain off."
Turn on,"This action will turn a WeMo Dimmer on. If the WeMo Dimmer is already on, it will remain on."
Change brightness,This action will change brightness of a Dimmer to a specified level/percentage.
Toggle on/off,This action will toggle a WeMo Dimmer on or off.
