trigger,trigger_description
トリプルタッチ,wearaアプリ内の[コマンド設定]でIFTTTを選択したうえで、weara COREのトップタッチセンサーを3回タッチすると、このトリガーが発動します。
入眠,weara COREで入眠が検知された時に、トリガーが発動します。
目標達成,wearaアプリで設定している目標が達成された時に、トリガーが発動します。
起床,weara COREで起床が検知された時に、トリガーが発動します。
