trigger,trigger_description
Door unlocked,This trigger fires every time someone unlocks or unlatches the door.
Calibration warning,This trigger fires every time the Smart Lock state changes to uncalibrated.
Battery warning,"This trigger fires every week, if the battery state of the Smart Lock is critical."
Door closed,This trigger fires every time someone closes the door. (Only supported for activated door sensor.)
Door opened,This trigger fires every time someone opens the door. (Only supported for activated door sensor.)
Arrive home,This trigger fires every time someone unlocks the door with Auto Unlock.
Door locked,This trigger fires every time someone locks the door.
Leave home,This trigger fires every time someone locks the door with Lock 'n' Go by pressing the button on the Smart Lock twice.
