trigger,trigger_description
Love Quotes,This trigger fires a love quote of the day from BrainyQuote.
Funny Quotes,This trigger fires a funny quote of the day from BrainyQuote.
Nature Quotes,This trigger fires a nature quote of the day from BrainyQuote.
Today's Quote,This trigger fires the official Quote of the Day from BrainyQuote.
Art Quotes,This trigger fires an art quote of the day from BrainyQuote.
