action,action_description
Toggle,This action will toggle a device.
Change color temperature,This action will change the color temperature of a light bulb.
Change brightness,This action will change brightness of a device to a specified level/percentage.
Turn off,This action will turn off a device.
Turn on,This action will turn on a device.
