trigger,trigger_description
Alarm set off,This trigger fires when a alarm is started on pixoo-64.
Planner alert stopped,This trigger fires when schedule time stop on pixoo-64.
Celebrations alert stopped,This trigger fires when memorial stop on pixoo-64.
Planner alert set off,This trigger fires when schedule time start on pixoo-64.
Celebrations alert set off,Memorial start on pixoo-64.
Countdown meter ended,The down clock is finished on pixoo-64.
