action,action_description
Turn off plug,This action will turn off your D-Link smart plug.
Change scene,This action will change your scene.
Turn on plug,This action will turn on your D-Link smart plug.
Turn on camera,This action will turn on your D-Link camera.
Turn off camera,This action will turn off your D-Link camera.
