action,action_description
do not water,This action will prevent Netro devices from watering in the next few days.
water,"This action will water your yard for a period of time.  You can specify one zone or all zones, watering duration and start time."
set moisture,This action will set the moisture level of a zone. It overrides the default moisture level provided by Netro cloud or Whisperer sensor.
report weather,provide your specific weather data to override Netro's default weather data
stop water,"This action will stop the watering schedules generated by the ""water"" action."
set device status,This action will enable or disable your Netro devices.
