action,action_description
Start coffee milk mix program,This action will start the selected coffee milk mix program with your preferred settings.
Stop program,This action will stop the active coffee machine program.
Start coffee program,This action will start the selected coffee program with your preferred settings.
Turn off coffee machine,This action will turn off your coffee machine.
Start milk program,This action will start the selected milk program with your preferred settings.
Start coffee world program,This action will start the selected coffee world program with your preferred settings.
Turn on coffee machine,This action will turn on your coffee machine.
