action,action_description
Change brightness,This action changes the brightness level of the light you select.
Activate scene,This action activates a scene you select.
Turn on/off,This action changes the switch status of the device you select.
Change color,This action changes the color of the light you select.
Change color temperature,This action changes the color temperature of the light you select.
