action,action_description
Create Notecard With HTML Content,This action will create a notecard with HTML content
Change Notebook Cover,This action will change a notebook cover
Create Link Card,This action will create a link card in notebook
Create Image NoteCard,This action will create an image notecard in notebook
Add Text Note,This action will create a Text notecard in notebook
