action,action_description
Open,This action will help you to open the gate.
Relay 1 - Biitween,This action will help you to trigger Relay 1 in Biitween
Relay 3 - Biitween,This action will help you to trigger Relay 3 in Biitween
Close,This action will help you to close the gat
Relay 4 - Biitween,This action will help you to trigger Relay 4 in Biitween
Relay 2 - Biitween,This action will help you to trigger Relay 2 in Biitween
