action,action_description
Return to tado⁠° automatic control,"This Action will return control of your hot water to tado⁠°, using your user-defined settings (e.g. location and Smart Schedule) to automatically determine the current hot water set point."
Start preparing hot water,This Action will start preparing your hot water.
Turn hot water off,This Action will turn your hot water off.
